url,written,written_human_readable,origin
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT22.ome.zarr,3958648915.2,3.69 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4309
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT14.ome.zarr,3862084262.4,3.60 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4301
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT57.ome.zarr,4140725702.4,3.86 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4340
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT54.ome.zarr,4105833312.0,3.82 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5720
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT23.ome.zarr,3916247865.6,3.65 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4310
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT66.ome.zarr,4098628396.8,3.82 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4347
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT37.ome.zarr,4195445318.4,3.91 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4323
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT63.ome.zarr,4073117260.8,3.79 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4345
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT03.ome.zarr,4049239084.8,3.77 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4289
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT55.ome.zarr,3972741024.0,3.70 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4336
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT21.ome.zarr,4114474560.0,3.83 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4308
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT45.ome.zarr,3939783052.8,3.67 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4330
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT25.ome.zarr,3817707532.8,3.56 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4312
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT07.ome.zarr,4022590924.8,3.75 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4293
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT68.ome.zarr,4016520614.4,3.74 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5723
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT05.ome.zarr,3913353427.2,3.64 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4291
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT10.ome.zarr,3982265280.0,3.71 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5725
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT43.ome.zarr,4021484275.2,3.75 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4328
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT35.ome.zarr,3992641632.0,3.72 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4321
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT01.ome.zarr,4121084083.2,3.84 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4287
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT12.ome.zarr,4106805696.0,3.82 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4299
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT41.ome.zarr,4087624128.0,3.81 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4326
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT31.ome.zarr,4125829881.6,3.84 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5382
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT36.ome.zarr,4130245862.4,3.85 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4322
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT11.ome.zarr,4000994054.4,3.73 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4298
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT18.ome.zarr,3990665548.8,3.72 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4305
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT62.ome.zarr,4135600627.2,3.85 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5721
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT20.ome.zarr,3928661318.4,3.66 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4307
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT39.ome.zarr,4161846662.4,3.88 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4325
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT15.ome.zarr,3976494547.2,3.70 GB,https://idr.openmicroscopy.org/webclient/?show=plate-4302
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0012/HT65.ome.zarr,4108145932.8,3.83 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5722
