url,written,written_human_readable,origin
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P170.ome.zarr,417816396.00000006,398.46 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1795
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P144.ome.zarr,431747775.6,411.75 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1787
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P145.ome.zarr,417805128.0,398.45 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1788
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P111.ome.zarr,370886612.20000005,353.71 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1759
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P120.ome.zarr,361836384.0,345.07 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1831
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P101.ome.zarr,299649874.2,285.77 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1751
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P105.ome.zarr,349919321.59999996,333.71 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1753
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P142.ome.zarr,379523760.0,361.94 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1785
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P149.ome.zarr,418394867.8,399.01 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1793
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P138.ome.zarr,205599977.2,196.08 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1781
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P128.ome.zarr,193520380.8,184.56 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1964
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P115.ome.zarr,393673007.0,375.44 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1761
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P109.ome.zarr,381188362.8,363.53 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1757
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P112.ome.zarr,135280455.2,129.01 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1760
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P121.ome.zarr,309974498.0,295.61 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1765
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P117.ome.zarr,212596533.6,202.75 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1762
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P133.ome.zarr,352871118.6,336.52 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1775
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P140.ome.zarr,213389400.0,203.50 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1783
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P110.ome.zarr,387747960.59999996,369.79 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1758
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P129.ome.zarr,280190700.4,267.21 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1771
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P134.ome.zarr,330779836.8,315.46 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1777
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P139.ome.zarr,330582778.40000004,315.27 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1782
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P146.ome.zarr,385259770.40000004,367.41 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1789
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P148.ome.zarr,412733320.0,393.61 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1792
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0004/P130.ome.zarr,287454099.2,274.14 MB,https://idr.openmicroscopy.org/webclient/?show=plate-1772
