url,written,written_human_readable,origin
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0051/180712_H2B_22ss_Courtney1_20180712-163837_p00_c00_preview.zarr,1415185896,1.32 GB,https://idr.openmicroscopy.org/webclient/?show=image-4007817
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0051/180712_H2B_22ss_Courtney_p00_c00_t0000_reg_preview.zarr,4000133544,3.73 GB,https://idr.openmicroscopy.org/webclient/?show=image-4007818
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0051/2018-06-28_21ss_DMSO_TF_20180628-185945_p00_c00_reg_preview.zarr,716969184,683.76 MB,https://idr.openmicroscopy.org/webclient/?show=image-4007819
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0051/embryo_dmso_2_new_17-00-44_p00_c00_reg_preview.klb.zarr,1417538532,1.32 GB,https://idr.openmicroscopy.org/webclient/?show=image-4007821
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0051/embryo_dmso_2_new_17-00-44_p00_c00_reg_preview.zarr,1422682567,1.32 GB,https://idr.openmicroscopy.org/webclient/?show=image-4007820
