url,written,written_human_readable,origin
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0025/10x_images_plate_1.ome.zarr,1470536140.8000002,1.37 GB,https://idr.openmicroscopy.org/webclient/?show=plate-6001
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0025/10x_images_plate_2.ome.zarr,794910336.0,758.09 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6051
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0025/10x_images_plate_3.ome.zarr,754959590.4000001,719.99 MB,https://idr.openmicroscopy.org/webclient/?show=plate-6002
