url,written,written_human_readable,origin
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.49.6-3.140922_11-33-57.01.ome.zarr,984773575,939.15 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261742
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.6-3.141020_15-41-29.02.ome.zarr,913912878,871.58 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261673
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.49.6-3.140922_13-02-44.01.ome.zarr,1093840050,1.02 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261746
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.67.6-3.141020_11-39-56.02.ome.zarr,1922574188,1.79 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261693
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.6-3.141020_17-15-07.02.ome.zarr,1109676388,1.03 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261782
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.67.6-3.141020_11-39-56.01.ome.zarr,1938872128,1.81 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261692
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.51.10-3.140926_10-43-58.01.ome.zarr,1228304487,1.14 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261816
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.54.10-3.140926_18-36-07.02.ome.zarr,1988209812,1.85 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261857
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.64.9-6.141023_12-21-30.00.ome.zarr,1728039332,1.61 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261795
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.48.10-3.140926_12-18-43.01.ome.zarr,1036227137,988.22 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261846
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.67.9-6.141023_12-39-26.04.ome.zarr,1216508286,1.13 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261735
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.54.10-3.140926_18-36-07.00.ome.zarr,2071913776,1.93 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261855
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.53.10-3.140926_18-40-48.00.ome.zarr,2182283509,2.03 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261835
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.6-3.141020_17-15-27.04.ome.zarr,924311142,881.49 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261680
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.6-3.141020_15-39-00.02.ome.zarr,982429372,936.92 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261777
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.53.10-3.140926_18-40-48.01.ome.zarr,2159924636,2.01 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261836
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.49.6-3.140922_11-33-57.00.ome.zarr,931254722,888.11 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261741
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.6-3.141020_17-15-27.03.ome.zarr,934556127,891.26 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261679
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.52.10-3.140926_14-51-38.01.ome.zarr,2174214554,2.02 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261826
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141023_15-49-01.01.ome.zarr,1412414652,1.32 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261712
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.53.10-3.140926_18-40-48.03.ome.zarr,2174490723,2.03 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261838
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.6-3.141020_17-15-07.04.ome.zarr,1121213346,1.04 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261784
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141020_17-15-27.02.ome.zarr,932324243,889.13 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261708
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141020_15-41-29.01.ome.zarr,925447553,882.58 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261702
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141020_17-15-27.03.ome.zarr,934556127,891.26 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261709
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.49.6-3.140922_13-02-44.02.ome.zarr,1060665830,1011.53 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261747
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.9-6.141023_15-45-09.01.ome.zarr,1662381776,1.55 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261806
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.9-6.141023_15-45-09.00.ome.zarr,1610364645,1.50 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261805
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.50.6-3.140922_11-36-07.01.ome.zarr,1652074774,1.54 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261652
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.57.6-3.140922_15-20-05.02.ome.zarr,1632044550,1.52 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261759
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141020_15-41-29.00.ome.zarr,913757187,871.43 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261701
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.52.10-3.140926_14-51-38.04.ome.zarr,2028809956,1.89 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261829
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.50.6-3.140922_11-36-07.00.ome.zarr,1526814889,1.42 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261651
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141023_15-49-01.04.ome.zarr,1438788257,1.34 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261715
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.55.6-3.140922_15-36-34.01.ome.zarr,1853921012,1.73 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261662
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.9-6.141023_15-45-09.04.ome.zarr,1564410686,1.46 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261809
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.6-3.141020_17-15-07.03.ome.zarr,1132322578,1.05 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261783
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141020_15-41-29.03.ome.zarr,922505322,879.77 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261704
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.6-3.141020_15-41-29.04.ome.zarr,905839633,863.88 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261675
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.67.9-6.141023_12-39-26.01.ome.zarr,1273652262,1.19 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261732
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141023_15-49-01.00.ome.zarr,1455312453,1.36 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261711
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.6-3.141020_15-39-00.00.ome.zarr,954014145,909.82 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261775
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.67.9-6.141023_12-39-26.00.ome.zarr,1072304268,1022.63 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261731
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.52.10-3.140926_14-51-38.00.ome.zarr,2173032228,2.02 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261825
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.6-3.141020_15-41-29.03.ome.zarr,922505322,879.77 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261674
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.53.10-3.140926_18-40-48.04.ome.zarr,2179414181,2.03 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261839
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.67.9-6.141023_12-39-26.02.ome.zarr,1281264803,1.19 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261733
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.56.10-3.140926_14-52-18.03.ome.zarr,2430778569,2.26 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261873
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.6-3.141020_17-15-27.00.ome.zarr,951237886,907.17 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261676
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.67.9-6.141023_12-39-26.03.ome.zarr,1219875533,1.14 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261734
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.9-6.141023_15-45-09.02.ome.zarr,1679296575,1.56 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261807
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.64.6-3.NONE.01.ome.zarr,1433197745,1.33 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261766
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.51.10-3.140926_10-43-58.04.ome.zarr,1241441854,1.16 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261819
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.57.6-3.140922_15-20-05.01.ome.zarr,1626531186,1.51 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261758
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141023_15-49-01.03.ome.zarr,1486526988,1.38 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261714
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.52.10-3.140926_14-51-38.02.ome.zarr,2150271443,2.00 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261827
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.64.6-3.NONE.00.ome.zarr,1399634006,1.30 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261765
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.49.6-3.140922_13-02-44.00.ome.zarr,1033870423,985.98 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261745
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.51.10-3.140926_10-43-58.00.ome.zarr,1253450705,1.17 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261815
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.6-3.141020_15-41-29.00.ome.zarr,913757187,871.43 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261671
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.6-3.141020_15-39-00.04.ome.zarr,994042972,947.99 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261779
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.6-3.141020_15-39-00.01.ome.zarr,991873840,945.92 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261776
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141020_17-15-27.00.ome.zarr,951237886,907.17 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261706
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.6-3.141020_17-15-27.02.ome.zarr,932324243,889.13 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261678
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.6-3.141020_17-15-07.00.ome.zarr,1079491235,1.01 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261780
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.55.6-3.140922_15-36-34.03.ome.zarr,1829811775,1.70 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261664
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.67.6-3.141020_11-39-56.04.ome.zarr,1633585763,1.52 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261695
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.48.10-3.140926_12-18-43.00.ome.zarr,1071983252,1022.32 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261845
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.55.6-3.140922_15-36-34.04.ome.zarr,1842030740,1.72 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261665
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.49.6-3.140922_11-33-57.02.ome.zarr,964441990,919.76 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261743
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141020_15-41-29.02.ome.zarr,913912878,871.58 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261703
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.48.10-3.140926_12-18-43.02.ome.zarr,1049063387,1000.46 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261847
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141020_17-15-27.01.ome.zarr,946746676,902.89 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261707
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.49.6-3.140922_11-33-57.03.ome.zarr,955863797,911.58 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261744
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.64.6-3.NONE.02.ome.zarr,1414280694,1.32 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261767
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.9-6.141023_15-45-09.03.ome.zarr,1677839124,1.56 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261808
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.64.6-3.NONE.03.ome.zarr,1312630719,1.22 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261768
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.6-3.141020_15-41-29.01.ome.zarr,925447553,882.58 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261672
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.64.6-3.NONE.04.ome.zarr,1406143055,1.31 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261769
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.57.6-3.140922_15-20-05.00.ome.zarr,1692494952,1.58 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261757
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.67.6-3.141020_11-39-56.03.ome.zarr,1930136084,1.80 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261694
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.53.10-3.140926_18-40-48.02.ome.zarr,2180828831,2.03 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261837
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.54.10-3.140926_18-36-07.04.ome.zarr,2061726645,1.92 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261859
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.55.6-3.140922_15-36-34.00.ome.zarr,1865033177,1.74 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261661
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.52.10-3.140926_14-51-38.03.ome.zarr,2115749557,1.97 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261828
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.50.6-3.140922_11-36-07.04.ome.zarr,1639939768,1.53 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261655
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.48.10-3.140926_12-18-43.04.ome.zarr,1045592220,997.15 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261849
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.64.9-6.141023_12-21-30.01.ome.zarr,1739040556,1.62 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261796
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.48.10-3.140926_12-18-43.03.ome.zarr,1049869103,1001.23 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261848
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141020_15-41-29.04.ome.zarr,905839633,863.88 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261705
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.54.10-3.140926_18-36-07.03.ome.zarr,2034439252,1.89 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261858
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.56.10-3.140926_14-52-18.01.ome.zarr,2525451427,2.35 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261871
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.64.9-6.141023_12-21-30.02.ome.zarr,1742719375,1.62 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261797
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.54.10-3.140926_18-36-07.01.ome.zarr,2016388154,1.88 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261856
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.57.6-3.140922_15-20-05.03.ome.zarr,1610205341,1.50 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261760
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.51.10-3.140926_10-43-58.03.ome.zarr,1222207932,1.14 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261818
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.6-3.141020_17-15-07.01.ome.zarr,1110285507,1.03 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261781
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.56.10-3.140926_14-52-18.02.ome.zarr,2393419263,2.23 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261872
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.51.10-3.140926_10-43-58.02.ome.zarr,1224398027,1.14 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261817
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141023_15-49-01.02.ome.zarr,1496397162,1.39 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261713
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.6-3.141020_17-15-27.01.ome.zarr,946746676,902.89 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261677
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.64.9-6.141023_12-21-30.04.ome.zarr,1720573321,1.60 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261799
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/7.56.10-3.140926_14-52-18.00.ome.zarr,2501304417,2.33 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261870
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.67.6-3.141020_11-39-56.00.ome.zarr,1931637866,1.80 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261691
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.65.6-3.141020_15-39-00.03.ome.zarr,999122745,952.84 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261778
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.66.9-6.141020_17-15-27.04.ome.zarr,924311142,881.49 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261710
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.49.6-3.140922_13-02-44.03.ome.zarr,1059701839,1010.61 MB,https://idr.openmicroscopy.org/webclient/?show=image-3261748
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.50.6-3.140922_11-36-07.03.ome.zarr,1665142455,1.55 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261654
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.64.9-6.141023_12-21-30.03.ome.zarr,1725272365,1.61 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261798
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.50.6-3.140922_11-36-07.02.ome.zarr,1639346333,1.53 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261653
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0026/3.55.6-3.140922_15-36-34.02.ome.zarr,1845642696,1.72 GB,https://idr.openmicroscopy.org/webclient/?show=image-3261663
