url,written,written_human_readable,origin
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0054/Tonsil 1.zarr,94540970,90.16 MB,https://idr.openmicroscopy.org/webclient/?show=image-5025551
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0054/Tonsil 2.zarr,85014382,81.08 MB,https://idr.openmicroscopy.org/webclient/?show=image-5025552
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0054/Tonsil 3.zarr,127393780,121.49 MB,https://idr.openmicroscopy.org/webclient/?show=image-5025553
